123, 1, 0, 1, 1.21727, -0.413887, 0.0469402, 0.367676, 0.726562, 0.268555, 29.5, 31.5625, 9.4375, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.22397, -0.415237, 0.0606003, 0.396484, 0.782715, 0.276367, 34.6875, 33.3125, 14.1875, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.22916, -0.417784, 0.0753212, 0.412598, 0.808594, 0.262207, 30.375, 35.125, 17.75, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23139, -0.421762, 0.0922842, 0.427734, 0.77832, 0.291504, 27.3125, 38.6875, 22.125, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23365, -0.426727, 0.112661, 0.427246, 0.771484, 0.277344, 30.4375, 46.5625, 27.4375, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23567, -0.430906, 0.135072, 0.402832, 0.796387, 0.294434, 33.625, 51.0625, 29.6875, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23567, -0.430906, 0.135072, 0.402832, 0.796387, 0.294434, 33.625, 51.0625, 29.6875, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23567, -0.430906, 0.135072, 0.402832, 0.796387, 0.294434, 33.625, 51.0625, 29.6875, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23567, -0.430906, 0.135072, 0.402832, 0.796387, 0.294434, 33.625, 51.0625, 29.6875, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23576, -0.44298, 0.183933, 0.45459, 0.797363, 0.282227, 27.1875, 58.0625, 36.625, 0, 0, 0, 0, 0, 0, 0, 0
123, 1, 0, 1, 1.23128, -0.457098, 0.247234, 0.394531, 0.738281, 0.315918, 41.625, 71.5625, 47.375, -1, 0, 4, 3, 1, 3, 2, 0
123, 1, 0, 1, 1.23128, -0.457098, 0.247234, 0.394531, 0.738281, 0.315918, 41.625, 71.5625, 47.375, -1, -1, 0, 4, 1, 5, 1, 0
123, 1, 0, 1, 1.23195, -0.464588, 0.280593, 0.404785, 0.789551, 0.315918, 47, 71.9375, 49.625, -1, -1, -5, -5, -2, -3, -1, -2
123, 1, 0, 1, 1.23297, -0.472957, 0.314267, 0.400879, 0.757324, 0.295898, 48, 72.0625, 51.4375, 1, 1, 4, 4, 2, -3, -3, -2
123, 1, 0, 1, 1.23485, -0.480642, 0.348945, 0.396484, 0.784668, 0.314453, 53.3125, 74, 52.0625, -3, -4, -7, -6, 0, 2, 1, 0
123, 1, 0, 1, 1.23485, -0.480642, 0.348945, 0.396484, 0.784668, 0.314453, 53.3125, 74, 52.0625, -3, -4, -7, -6, 0, 2, 1, 0
123, 1, 0, 1, 1.23485, -0.480642, 0.348945, 0.396484, 0.784668, 0.314453, 53.3125, 74, 52.0625, -3, -4, -7, -6, 0, 2, 1, 0
123, 1, 0, 1, 1.2453, -0.491021, 0.418081, 0.396973, 0.84082, 0.270996, 62.3125, 76.8125, 44.0625, -2, 0, 4, -3, -1, -4, -1, -1
123, 1, 0, 1, 1.24872, -0.492503, 0.45206, 0.395996, 0.871582, 0.251465, 53.875, 79.1875, 37.125, -1, 0, 3, 1, -1, -2, 0, -1
123, 1, 0, 1, 1.24863, -0.491491, 0.486085, 0.387695, 0.901367, 0.225586, 41.625, 82.5, 31.6875, -1, -3, -3, -2, -2, -1, -1, -1
123, 1, 0, 1, 1.24863, -0.491491, 0.486085, 0.387695, 0.901367, 0.225586, 41.625, 82.5, 31.6875, 4, 0, 0, 0, -1, -1, -1, 0
123, 1, 0, 1, 1.242, -0.489371, 0.521711, 0.367188, 0.870605, 0.237305, 25.625, 86.625, 30.1875, 4, 0, 0, 0, -1, -1, -1, 0
123, 1, 0, 1, 1.23244, -0.487027, 0.556373, 0.341797, 0.865723, 0.23291, 14.75, 84.625, 30.5625, -6, -11, -18, -12, -4, -3, 0, -5
123, 1, 0, 1, 1.22503, -0.485586, 0.586881, 0.327148, 0.877441, 0.213867, 14.0625, 73.875, 32, 11, 6, 6, 3, -1, -1, 2, 6
123, 1, 0, 1, 1.22503, -0.485586, 0.586881, 0.327148, 0.877441, 0.213867, 14.0625, 73.875, 32, 25, 1, 1, 1, 0, -1, -3, 1
123, 1, 0, 1, 1.22002, -0.483608, 0.609271, 0.326172, 0.899902, 0.178223, 6.5, 56.0625, 24.3125, 6, -1, -2, -1, -2, -1, 0, -2
123, 1, 0, 1, 1.22002, -0.483608, 0.609271, 0.326172, 0.899902, 0.178223, 6.5, 56.0625, 24.3125, -2, -1, -1, -1, -1, -2, -3, 3
123, 1, 0, 1, 1.20742, -0.470647, 0.626122, 0.205566, 1, 0.148438, -31.0625, 13.375, 1.125, 2, -2, 0, 0, 0, 0, 0, -6
123, 1, 0, 1, 1.19423, -0.463094, 0.615906, 0.169922, 0.967285, 0.186523, -62.375, -18.625, -9.25, 1, 0, -1, 0, 0, 0, -2, -4
123, 1, 0, 1, 1.19423, -0.463094, 0.615906, 0.169922, 0.967285, 0.186523, -62.375, -18.625, -9.25, 1, 0, -1, 0, 0, 0, -2, -4
123, 1, 0, 1, 1.19423, -0.463094, 0.615906, 0.169922, 0.967285, 0.186523, -62.375, -18.625, -9.25, 3, -1, -2, -3, -1, -1, 1, 0
123, 1, 0, 1, 1.19423, -0.463094, 0.615906, 0.169922, 0.967285, 0.186523, -62.375, -18.625, -9.25, 0, -3, -1, 0, -1, -1, -3, -5
